row_id,ls_number,name,gender,party,department,rank,rank_comment,appointment_begin,appointment_end,house,constituency,state,ministry_name,ministry_category,ministry_category2,comments,pid,start_source,end_source,ls_pid
1031,1,J K Bhonsle,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Tuesday, 16 April 1957",Lok Sabha,Ratnagiri North,Bombay,rehabilitation,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication,
1032,1,Jai Sukh Lal Hathi,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Friday, 12 September 1952","Wednesday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,Saurashtra,irrigation & power,"irrigation, power & energy",,,,Council of Ministers Publication,Council of Ministers Publication,
1033,1,K C Reddy,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 15 May 1952","Wednesday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,Mysore,production,"commerce, industry, civil supplies",,,,Council of Ministers Publication,Council of Ministers Publication,
1034,1,K D Malaviya,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Tuesday, 7 December 1954",Lok Sabha,Domariagaj,Uttar Pradesh,natural resources,"steel, coal, mines, oil, petrol, chemicals, fertilizers",,,,Council of Ministers Publication,Council of Ministers Publication,
1035,1,K D Malaviya,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Tuesday, 7 December 1954",Lok Sabha,Domariagaj,Uttar Pradesh,scientific research,scientific research,,,,Council of Ministers Publication,Council of Ministers Publication,
1036,1,K D Malaviya,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 7 December 1954","Saturday, 8 January 1955",Lok Sabha,Domariagaj,Uttar Pradesh,natural resources,"steel, coal, mines, oil, petrol, chemicals, fertilizers",,,,Council of Ministers Publication,Council of Ministers Publication,
1037,1,K D Malaviya,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 7 December 1954","Saturday, 8 January 1955",Lok Sabha,Domariagaj,Uttar Pradesh,scientific research,scientific research,,,,Council of Ministers Publication,Council of Ministers Publication,
1038,1,K D Malaviya,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Saturday, 8 January 1955","Wednesday, 17 April 1957",Lok Sabha,Domariagaj,Uttar Pradesh,natural resources,"steel, coal, mines, oil, petrol, chemicals, fertilizers",,,,Council of Ministers Publication,Council of Ministers Publication,
1039,0,K M Munshi,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 17 April 1952","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,food & agriculture,"food, consumer affairs, public distribution",agriculture,,,Council of Ministers Publication,Council of Ministers Publication,
1040,0,Kailash Nath Katju,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 17 April 1952","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,home affairs,home affairs,,,,Council of Ministers Publication,Council of Ministers Publication,
1041,1,Kailash Nath Katju,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Monday, 10 January 1955",Lok Sabha,Mandsaur,Madhya Pradesh,home affairs,home affairs,,,,Council of Ministers Publication,Council of Ministers Publication,
1042,1,Kailash Nath Katju,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Monday, 10 January 1955",Lok Sabha,Mandsaur,Madhya Pradesh,princely states,others,,,,Council of Ministers Publication,Council of Ministers Publication,
1043,1,Kailash Nath Katju,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Monday, 10 January 1955","Thursday, 31 January 1957",Lok Sabha,Mandsaur,Madhya Pradesh,defence,defence,,,,Council of Ministers Publication,Council of Ministers Publication,
1044,1,V K Krishna Menon,M,IND,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 17 May 1956","Wednesday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,Kerala,health,health,,,,Council of Ministers Publication,Council of Ministers Publication,
1045,1,Kalu Lal Shrimali,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Saturday, 14 May 1955","Wednesday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,Rajasthan,education,education,,,,Council of Ministers Publication,Council of Ministers Publication,
1046,1,Khandubhai Kasanji,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Friday, 10 September 1954","Tuesday, 16 April 1957",Lok Sabha,Halar,Saurashtra,labour,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication,
1047,1,M C Shah,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Sunday, 7 December 1952",Rajya Sabha,NOT_APPLICABLE,Bombay,finance,finance,,,,Council of Ministers Publication,Council of Ministers Publication,
1048,1,M C Shah,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 7 December 1954","Sunday, 14 April 1957",Rajya Sabha,NOT_APPLICABLE,Bombay,revenue & civil expenditure,finance,,,,Council of Ministers Publication,Council of Ministers Publication,
1049,1,M Chandrasekhar,F,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Tuesday, 16 April 1957",Lok Sabha,Sriperumudur,Tamil Nadu,health,health,,,,Council of Ministers Publication,Council of Ministers Publication,
1050,1,M V Krishnappa,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Wednesday, 17 April 1957",Lok Sabha,Chikballapur,Karnataka,food & agriculture,"food, consumer affairs, public distribution",agriculture,,,Council of Ministers Publication,Council of Ministers Publication,
1051,1,Mahavir Tyagi,M,INC,NOT_APPLICABLE,MoS,NOT_APPLICABLE,"Tuesday, 13 May 1952","Thursday, 21 August 1952",Lok Sabha,Dehra Dun,Uttar Pradesh,finance,finance,,,,Council of Ministers Publication,Council of Ministers Publication,
1052,1,Mahavir Tyagi,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 21 August 1952","Monday, 16 March 1953",Lok Sabha,Dehra Dun,Uttar Pradesh,revenue & expenditure,finance,,,,Council of Ministers Publication,Council of Ministers Publication,
1053,1,Mahavir Tyagi,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Monday, 16 March 1953","Thursday, 4 April 1957",Lok Sabha,Dehra Dun,Uttar Pradesh,defence organisation,defence,,,,Council of Ministers Publication,Council of Ministers Publication,
1054,1,Manubhai Shah,M,INC,Industrial Development,CM,NOT_APPLICABLE,"Tuesday, 1 May 1956","Wednesday, 13 June 1956",Rajya Sabha,NOT_APPLICABLE,Gujarat,commerce & industry,"commerce, industry, civil supplies",,,,Council of Ministers Publication,Council of Ministers Publication,
1055,1,Manubhai Shah,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Wednesday, 13 June 1956","Tuesday, 16 April 1957",Rajya Sabha,NOT_APPLICABLE,Gujarat,heavy industry,heavy industry,,,,Council of Ministers Publication,Council of Ministers Publication,
1056,0,Maulana Abul Kalam Azad,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Friday, 15 August 1947","Thursday, 26 January 1950",not_applicable,not_applicable,not_applicable,education,education,,,,Council of Ministers Publication,Council of Ministers Publication,
1057,0,Maulana Abul Kalam Azad,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 26 January 1950","Saturday, 6 May 1950",not_applicable,not_applicable,not_applicable,education,education,,,,Council of Ministers Publication,Council of Ministers Publication,
1058,1,Mehr Chand Khanna,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 7 December 1954","Wednesday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,Delhi,rehabilitation,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication,
1059,1,Mono Mohan Das,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 1 May 1956","Wednesday, 17 April 1957",Lok Sabha,Ausram,West Bengal,education,education,,,,Council of Ministers Publication,Council of Ministers Publication,
1060,1,N Gopalswamy Ayyangar,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Tuesday, 10 February 1953",Rajya Sabha,not_applicable,Madras,defence,defence,,,,Council of Ministers Publication,Council of Ministers Publication,
1061,0,N V Gadgil,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 17 April 1952","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,works,"works, housing, urban development",,,,Council of Ministers Publication,Council of Ministers Publication,
1062,0,N V Gadgil,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 17 April 1952","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,products & supplies,supply,,,,Council of Ministers Publication,Council of Ministers Publication,
1063,1,Nityanand Kanungo,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 28 September 1954","Wednesday, 10 August 1955",Lok Sabha,Cuttack,Orissa,commerce & industry,"commerce, industry, civil supplies",,,,Council of Ministers Publication,Council of Ministers Publication,
1064,1,Nityanand Kanungo,M,INC,NOT_APPLICABLE,MoS,NOT_APPLICABLE,"Wednesday, 10 August 1955","Wednesday, 13 June 1956",Lok Sabha,Cuttack,Orissa,consumer industries,"commerce, industry, civil supplies",,,,Council of Ministers Publication,Council of Ministers Publication,
1065,1,Nityanand Kanungo,M,INC,NOT_APPLICABLE,MoS,NOT_APPLICABLE,"Wednesday, 13 June 1956","Wednesday, 17 April 1957",Lok Sabha,Cuttack,Orissa,consumer industries,"commerce, industry, civil supplies",,,,Council of Ministers Publication,Council of Ministers Publication,
1066,1,O V Alagesan,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Tuesday, 16 April 1957",Lok Sabha,Arakkonam,Tamil Nadu,railways & transport,"transport: shipping, railways, civil aviation, tourism",,,,Council of Ministers Publication,Council of Ministers Publication,
1067,1,P S Deshmukh,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Thursday, 21 August 1952",Lok Sabha,Amaravati,Maharashtra,food & agriculture,"food, consumer affairs, public distribution",agriculture,,,Council of Ministers Publication,Council of Ministers Publication,
1068,1,P S Deshmukh,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 21 August 1952","Wednesday, 17 April 1957",Lok Sabha,Amaravati,Maharashtra,agriculture,agriculture,,,,Council of Ministers Publication,Council of Ministers Publication,
1069,1,P S Deshmukh,M,INC,NOT_APPLICABLE,CM,Additional Charge,"Friday, 29 October 1954","Thursday, 25 November 1954",Lok Sabha,Amaravati,Maharashtra,food & agriculture,"food, consumer affairs, public distribution",agriculture,,,Council of Ministers Publication,Council of Ministers Publication,
1070,1,Rafi Ahmed Kidwai,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Sunday, 24 October 1954",Lok Sabha,Bahraich,Uttar Pradesh,food & agriculture,"food, consumer affairs, public distribution",agriculture,,,Council of Ministers Publication,Council of Ministers Publication,
1071,1,Raj Bahadur,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Wednesday, 4 June 1952","Tuesday, 14 February 1956",Lok Sabha,Bharatpur,Rajasthan,communications,"electronics, information technology & communications",,,,Council of Ministers Publication,Council of Ministers Publication,
1072,1,Raj Bahadur,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 14 February 1956","Friday, 7 December 1956",Lok Sabha,Bharatpur,Rajasthan,communications,"electronics, information technology & communications",,,,Council of Ministers Publication,Council of Ministers Publication,
1073,1,Raj Bahadur,M,INC,NOT_APPLICABLE,CM,Additional Charge,"Friday, 7 December 1956","Sunday, 20 January 1957",Lok Sabha,Bharatpur,Rajasthan,communications,"electronics, information technology & communications",,,,Council of Ministers Publication,Council of Ministers Publication,
1074,1,Raj Bahadur,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Sunday, 20 January 1957","Wednesday, 17 April 1957",Lok Sabha,Bharatpur,Rajasthan,communications,"electronics, information technology & communications",,,,Council of Ministers Publication,Council of Ministers Publication,
1075,1,Rajkumari Amrit Kaur,F,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Tuesday, 16 April 1957",Lok Sabha,Mandi-Mahasu,Himachal Pradesh,health,health,,,,Council of Ministers Publication,Council of Ministers Publication,
1076,1,S N Buragohain,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Sunday, 4 October 1953",Lok Sabha,Sibasagar - North Lakhimpur,Assam,"works, housing & supply","works, housing, urban development",supply,,,Council of Ministers Publication,Council of Ministers Publication,
1077,0,Sardar Baldev Singh,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 17 April 1952","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,defence,defence,,,,Council of Ministers Publication,Council of Ministers Publication,
1078,1,Sardar Surjit Singh Majithia,M,SAD,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Wednesday, 17 April 1957",Lok Sabha,Sangrur,Punjab,defence,defence,,,,Council of Ministers Publication,Council of Ministers Publication,
1079,1,Satish Chandra,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Thursday, 27 November 1952","Thursday, 14 July 1955",Lok Sabha,Bareilly,Uttar Pradesh,defence,defence,,,,Council of Ministers Publication,Council of Ministers Publication,
1080,1,Satish Chandra,M,INC,Production,DCM,NOT_APPLICABLE,"Thursday, 14 July 1955","Wednesday, 17 April 1957",Lok Sabha,Bareilly,Uttar Pradesh,defence,defence,,,,Council of Ministers Publication,Council of Ministers Publication,
1081,1,Satya Narayan,M,INC,NOT_APPLICABLE,MoS,NOT_APPLICABLE,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Lok Sabha,Darbhanga,Bihar,parliamentary affairs,parliamentary affairs,,,,Council of Ministers Publication,Council of Ministers Publication,
1082,1,Shah Nawaz Khan,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Thursday, 20 September 1956","Wednesday, 17 April 1957",Lok Sabha,Meerut,Uttar Pradesh,railways & transport,"transport: shipping, railways, civil aviation, tourism",,,,Council of Ministers Publication,Council of Ministers Publication,
1083,1,Shyam Nandan Mishra,M,JP,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Friday, 10 September 1954","Wednesday, 17 April 1957",Lok Sabha,Begusarai,Bihar,planning,"statistics, planning and program implementation",,,,Council of Ministers Publication,Council of Ministers Publication,
1084,1,Surendra Kumar Dey,M,INC,NOT_APPLICABLE,MoS,NOT_APPLICABLE,"Thursday, 20 September 1956","Wednesday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,Delhi,community development,"rural development, community development, panchayati raj",,,,Council of Ministers Publication,Council of Ministers Publication,
1085,1,Swaran Singh,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,Punjab,"works, housing & supply","works, housing, urban development",supply,,,Council of Ministers Publication,Council of Ministers Publication,
1086,1,Swaran Singh,M,INC,NOT_APPLICABLE,CM,Additional Charge,"Thursday, 30 August 1956","Wednesday, 14 November 1956",Rajya Sabha,NOT_APPLICABLE,Punjab,commerce & consumer industry,"commerce, industry, civil supplies",,,,Council of Ministers Publication,Council of Ministers Publication,
1087,1,Syed Mahmud,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 7 December 1954","Wednesday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,Bihar,external affairs,external affairs,,,,Council of Ministers Publication,Council of Ministers Publication,
1088,1,T T Krishnamachari,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Thursday, 30 August 1956",Lok Sabha,Tiruchandur,Madras,commerce,"commerce, industry, civil supplies",,,,Council of Ministers Publication,Council of Ministers Publication,
1089,1,T T Krishnamachari,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Thursday, 30 August 1956",Lok Sabha,Tiruchandur,Madras,industry,"commerce, industry, civil supplies",,,,Council of Ministers Publication,Council of Ministers Publication,
1090,1,T T Krishnamachari,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 30 August 1956","Wednesday, 17 April 1957",Lok Sabha,Tiruchandur,Madras,finance,finance,,,,Council of Ministers Publication,Council of Ministers Publication,
1091,1,V K Krishna Menon,M,IND,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 14 February 1956","Thursday, 17 May 1956",Rajya Sabha,NOT_APPLICABLE,Kerala,without portfolio,without portfolio,,exception: without portfolio,,Council of Ministers Publication,Council of Ministers Publication,
1092,1,V K Krishna Menon,M,IND,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 17 May 1956","Thursday, 4 April 1957",Rajya Sabha,NOT_APPLICABLE,Kerala,health,health,,,,Council of Ministers Publication,Council of Ministers Publication,
1093,1,V V Giri,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Saturday, 7 August 1954",Lok Sabha,Pathapatnam,Madras,labour,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication,
1094,1,C C Biswas,M,INC,NOT_APPLICABLE,MoS,NOT_APPLICABLE,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,West Bengal,indo pak agreement,external affairs,,,,Council of Ministers Publication,Council of Ministers Publication,
1095,1,Morarji Desai,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Wednesday, 14 November 1956","Tuesday, 1 January 1957",not_applicable,not_applicable,not_applicable,commerce,"commerce, industry, civil supplies",,"house is not applicable: In all of the cases, he held the ministerial post for less than 6 months, he was subsequently elected to LS in the 1957 elections",,Council of Ministers Publication,Council of Ministers Publication,
1096,1,Morarji Desai,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Wednesday, 14 November 1956","Tuesday, 1 January 1957",not_applicable,not_applicable,not_applicable,consumer industry & heavy industry,heavy industry,,"house is not applicable: In all of the cases, he held the ministerial post for less than 6 months, he was subsequently elected to LS in the 1957 elections",,Council of Ministers Publication,Council of Ministers Publication,
1097,1,Morarji Desai,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 1 January 1957","Wednesday, 17 April 1957",not_applicable,not_applicable,not_applicable,commerce,"commerce, industry, civil supplies",,"house is not applicable: In all of the cases, he held the ministerial post for less than 6 months, he was subsequently elected to LS in the 1957 elections",,Council of Ministers Publication,Council of Ministers Publication,
1098,1,Morarji Desai,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 1 January 1957","Wednesday, 17 April 1957",not_applicable,not_applicable,not_applicable,industry,"commerce, industry, civil supplies",,"house is not applicable: In all of the cases, he held the ministerial post for less than 6 months, he was subsequently elected to LS in the 1957 elections",,Council of Ministers Publication,Council of Ministers Publication,
1099,3,Gulzarilal Nanda,M,INC,atomic energy,CM,NOT_APPLICABLE,"Wednesday, 27 May 1964","Tuesday, 9 June 1964",Lok Sabha,SABARKANTHA,Gujarat,atomic energy,atomic energy,,,3_Gujarat_9_1_0,Council of Ministers Publication,Council of Ministers Publication,GEGJ17749
