id,ls_number,name,gender,party,department,rank,rank_comment,appointment_begin,appointment_end,house,constituency,state,name_clean,error,comments
1026,1,H V Pataskar,M,INC,,CM,Additional Charge,"Friday, 7 December 1956","Thursday, 13 December 1956",Lok Sabha,Jalgaon,Bombay,civil aviation,before_first_ammendment,
1027,1,H V Pataskar,M,INC,,CM,,"Thursday, 13 December 1956","Tuesday, 16 April 1957",Lok Sabha,Jalgaon,Bombay,legal affairs,before_first_ammendment,
1028,1,Mahavir Tyagi,M,INC,,CM,,"Friday, 5 April 1957","Wednesday, 17 April 1957",Lok Sabha,Dehra Dun,Uttar Pradesh,defence organisation,before_first_ammendment,
1029,1,H V Pataskar,M,INC,,CM,,"Thursday, 13 December 1956","Tuesday, 16 April 1957",Lok Sabha,Jalgaon,Bombay,civil aviation,before_first_ammendment,
1030,0,Harekrushna Mahtab,M,INC,,CM,,"Thursday, 17 April 1952","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,commerce & industry,before_first_ammendment,
1031,1,J K Bhonsle,M,INC,,DCM,,"Tuesday, 12 August 1952","Tuesday, 16 April 1957",Lok Sabha,Ratnagiri North,Bombay,rehabilitation,before_first_ammendment,
1032,1,Jai Sukh Lal Hathi,M,INC,,DCM,,"Friday, 12 September 1952","Wednesday, 17 April 1957",Rajya Sabha,,Saurashtra,irrigation & power,before_first_ammendment,
1033,1,K C Reddy,M,INC,,CM,,"Thursday, 15 May 1952","Wednesday, 17 April 1957",Rajya Sabha,,Mysore,production,before_first_ammendment,
1034,1,K D Malaviya,M,INC,,DCM,,"Tuesday, 12 August 1952","Tuesday, 7 December 1954",Lok Sabha,Domariagaj,Uttar Pradesh,natural resources,before_first_ammendment,
1035,1,K D Malaviya,M,INC,,DCM,,"Tuesday, 12 August 1952","Tuesday, 7 December 1954",Lok Sabha,Domariagaj,Uttar Pradesh,scientific research,before_first_ammendment,
1036,1,K D Malaviya,M,INC,,CM,,"Tuesday, 7 December 1954","Saturday, 8 January 1955",Lok Sabha,Domariagaj,Uttar Pradesh,natural resources,before_first_ammendment,
1037,1,K D Malaviya,M,INC,,CM,,"Tuesday, 7 December 1954","Saturday, 8 January 1955",Lok Sabha,Domariagaj,Uttar Pradesh,scientific research,before_first_ammendment,
1038,1,K D Malaviya,M,INC,,CM,,"Saturday, 8 January 1955","Wednesday, 17 April 1957",Lok Sabha,Domariagaj,Uttar Pradesh,natural resources,before_first_ammendment,
1039,0,K M Munshi,M,INC,,CM,,"Thursday, 17 April 1952","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,food & agriculture,before_first_ammendment,
1040,0,Kailash Nath Katju,M,INC,,CM,,"Thursday, 17 April 1952","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,home affairs,before_first_ammendment,
1041,1,Kailash Nath Katju,M,INC,,CM,,"Tuesday, 13 May 1952","Monday, 10 January 1955",Lok Sabha,Mandsaur,Madhya Pradesh,home affairs,before_first_ammendment,
1042,1,Kailash Nath Katju,M,INC,,CM,,"Tuesday, 13 May 1952","Monday, 10 January 1955",Lok Sabha,Mandsaur,Madhya Pradesh,princely states,before_first_ammendment,
1043,1,Kailash Nath Katju,M,INC,,CM,,"Monday, 10 January 1955","Thursday, 31 January 1957",Lok Sabha,Mandsaur,Madhya Pradesh,defence,before_first_ammendment,
1044,1,V K Krishna Menon,M,IND,,CM,,"Thursday, 17 May 1956","Wednesday, 17 April 1957",Rajya Sabha,,Kerala,health,before_first_ammendment,
1045,1,Kalu Lal Shrimali,M,INC,,DCM,,"Saturday, 14 May 1955","Wednesday, 17 April 1957",Rajya Sabha,,Rajasthan,education,before_first_ammendment,
1046,1,Khandubhai Kasanji,M,INC,,CM,,"Friday, 10 September 1954","Tuesday, 16 April 1957",Lok Sabha,Halar,Saurashtra,labour,before_first_ammendment,
1047,1,M C Shah,M,INC,,DCM,,"Tuesday, 12 August 1952","Sunday, 7 December 1952",Rajya Sabha,,Bombay,finance,before_first_ammendment,
1048,1,M C Shah,M,INC,,CM,,"Tuesday, 7 December 1954","Sunday, 14 April 1957",Rajya Sabha,,Bombay,revenue & civil expenditure,before_first_ammendment,
1049,1,M Chandrasekhar,F,INC,,DCM,,"Tuesday, 12 August 1952","Tuesday, 16 April 1957",Lok Sabha,Sriperumudur,Tamil Nadu,health,before_first_ammendment,
1050,1,M V Krishnappa,M,INC,,DCM,,"Tuesday, 12 August 1952","Wednesday, 17 April 1957",Lok Sabha,Chikballapur,Karnataka,food & agriculture,before_first_ammendment,
1051,1,Mahavir Tyagi,M,INC,,MoS,,"Tuesday, 13 May 1952","Thursday, 21 August 1952",Lok Sabha,Dehra Dun,Uttar Pradesh,finance,before_first_ammendment,
1052,1,Mahavir Tyagi,M,INC,,CM,,"Thursday, 21 August 1952","Monday, 16 March 1953",Lok Sabha,Dehra Dun,Uttar Pradesh,revenue & expenditure,before_first_ammendment,
1053,1,Mahavir Tyagi,M,INC,,CM,,"Monday, 16 March 1953","Thursday, 4 April 1957",Lok Sabha,Dehra Dun,Uttar Pradesh,defence organisation,before_first_ammendment,
1054,1,Manubhai Shah,M,INC,Industrial Development,CM,,"Tuesday, 1 May 1956","Wednesday, 13 June 1956",Rajya Sabha,,Gujarat,commerce & industry,before_first_ammendment,
1055,1,Manubhai Shah,M,INC,,CM,,"Wednesday, 13 June 1956","Tuesday, 16 April 1957",Rajya Sabha,,Gujarat,heavy industry,before_first_ammendment,
2801,0,Maulana Abul Kalam Azad,M,INC,,CM,,"Friday, 15 August 1947","Thursday, 26 January 1950",not_applicable,not_applicable,not_applicable,education,before_first_ammendment,
2802,0,Maulana Abul Kalam Azad,M,INC,,CM,,"Thursday, 26 January 1950","Saturday, 6 May 1950",not_applicable,not_applicable,not_applicable,education,before_first_ammendment,
1058,1,Mehr Chand Khanna,M,INC,,CM,,"Tuesday, 7 December 1954","Wednesday, 17 April 1957",Rajya Sabha,,Delhi,rehabilitation,before_first_ammendment,
1059,1,Mono Mohan Das,M,INC,,DCM,,"Tuesday, 1 May 1956","Wednesday, 17 April 1957",Lok Sabha,Ausram,West Bengal,education,before_first_ammendment,
1060,1,N Gopalswamy Ayyangar,M,INC,,CM,,"Tuesday, 13 May 1952","Tuesday, 10 February 1953",not_applicable,not_applicable,not_applicable,defence,before_first_ammendment,
1061,0,N V Gadgil,M,INC,,CM,,"Thursday, 17 April 1952","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,works,before_first_ammendment,
1062,0,N V Gadgil,M,INC,,CM,,"Thursday, 17 April 1952","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,products & supplies,before_first_ammendment,
1063,1,Nityanand Kanungo,M,INC,,DCM,,"Tuesday, 28 September 1954","Wednesday, 10 August 1955",Lok Sabha,Cuttack,Orissa,commerce & industry,before_first_ammendment,
1064,1,Nityanand Kanungo,M,INC,,MoS,,"Wednesday, 10 August 1955","Wednesday, 13 June 1956",Lok Sabha,Cuttack,Orissa,consumer industries,before_first_ammendment,
1065,1,Nityanand Kanungo,M,INC,,MoS,,"Wednesday, 13 June 1956","Wednesday, 17 April 1957",Lok Sabha,Cuttack,Orissa,consumer industries,before_first_ammendment,
1066,1,O V Alagesan,M,INC,,DCM,,"Tuesday, 12 August 1952","Tuesday, 16 April 1957",Lok Sabha,Arakkonam,Tamil Nadu,railways & transport,before_first_ammendment,
1067,1,P S Deshmukh,M,INC,,CM,,"Tuesday, 12 August 1952","Thursday, 21 August 1952",Lok Sabha,Amaravati,Maharashtra,food & agriculture,before_first_ammendment,
1068,1,P S Deshmukh,M,INC,,CM,,"Thursday, 21 August 1952","Wednesday, 17 April 1957",Lok Sabha,Amaravati,Maharashtra,agriculture,before_first_ammendment,
1069,1,P S Deshmukh,M,INC,,CM,Additional Charge,"Friday, 29 October 1954","Thursday, 25 November 1954",Lok Sabha,Amaravati,Maharashtra,food & agriculture,before_first_ammendment,
1070,1,Rafi Ahmed Kidwai,M,INC,,CM,,"Tuesday, 13 May 1952","Sunday, 24 October 1954",Lok Sabha,Bahraich,Uttar Pradesh,food & agriculture,before_first_ammendment,
1071,1,Raj Bahadur,M,INC,,DCM,,"Wednesday, 4 June 1952","Tuesday, 14 February 1956",Lok Sabha,Bharatpur,Rajasthan,communications,before_first_ammendment,
1072,1,Raj Bahadur,M,INC,,CM,,"Tuesday, 14 February 1956","Friday, 7 December 1956",Lok Sabha,Bharatpur,Rajasthan,communications,before_first_ammendment,
1073,1,Raj Bahadur,M,INC,,CM,Additional Charge,"Friday, 7 December 1956","Sunday, 20 January 1957",Lok Sabha,Bharatpur,Rajasthan,communications,before_first_ammendment,
1074,1,Raj Bahadur,M,INC,,CM,,"Sunday, 20 January 1957","Wednesday, 17 April 1957",Lok Sabha,Bharatpur,Rajasthan,communications,before_first_ammendment,
1075,1,Rajkumari Amrit Kaur,F,INC,,CM,,"Tuesday, 13 May 1952","Tuesday, 16 April 1957",Lok Sabha,Mandi-Mahasu,Himachal Pradesh,health,before_first_ammendment,
1076,1,S N Buragohain,M,INC,,DCM,,"Tuesday, 13 May 1952","Sunday, 4 October 1953",Lok Sabha,Sibasagar - North Lakhimpur,Assam,"works, housing & supply",before_first_ammendment,
1077,0,Sardar Baldev Singh,M,INC,,CM,,"Thursday, 17 April 1952","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,defence,before_first_ammendment,
1078,1,Sardar Surjit Singh Majithia,M,SAD,,DCM,,"Tuesday, 12 August 1952","Wednesday, 17 April 1957",Lok Sabha,Sangrur,Punjab,defence,before_first_ammendment,
1079,1,Satish Chandra,M,INC,,DCM,,"Thursday, 27 November 1952","Thursday, 14 July 1955",Lok Sabha,Bareilly,Uttar Pradesh,defence,before_first_ammendment,
1080,1,Satish Chandra,M,INC,Production,DCM,,"Thursday, 14 July 1955","Wednesday, 17 April 1957",Lok Sabha,Bareilly,Uttar Pradesh,defence,before_first_ammendment,
1081,1,Satya Narayan,M,INC,,MoS,,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Lok Sabha,Darbhanga,Bihar,parliamentary affairs,before_first_ammendment,
1082,1,Shah Nawaz Khan,M,INC,,DCM,,"Thursday, 20 September 1956","Wednesday, 17 April 1957",Lok Sabha,Meerut,Uttar Pradesh,railways & transport,before_first_ammendment,
1083,1,Shyam Nandan Mishra,M,JP,,DCM,,"Friday, 10 September 1954","Wednesday, 17 April 1957",Lok Sabha,Begusarai,Bihar,planning,before_first_ammendment,
1084,1,Surendra Kumar Dey,M,INC,,MoS,,"Thursday, 20 September 1956","Wednesday, 17 April 1957",Rajya Sabha,,Delhi,community development,before_first_ammendment,
1085,1,Swaran Singh,M,INC,,CM,,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Rajya Sabha,,Punjab,"works, housing & supply",before_first_ammendment,
1086,1,Swaran Singh,M,INC,,CM,Additional Charge,"Thursday, 30 August 1956","Wednesday, 14 November 1956",Rajya Sabha,,Punjab,commerce & consumer industry,before_first_ammendment,
1087,1,Syed Mahmud,M,INC,,CM,,"Tuesday, 7 December 1954","Wednesday, 17 April 1957",Rajya Sabha,,Bihar,external affairs,before_first_ammendment,
1088,1,T T Krishnamachari,M,INC,,CM,,"Tuesday, 13 May 1952","Thursday, 30 August 1956",Lok Sabha,Tiruchandur,Madras,commerce,before_first_ammendment,
1089,1,T T Krishnamachari,M,INC,,CM,,"Tuesday, 13 May 1952","Thursday, 30 August 1956",Lok Sabha,Tiruchandur,Madras,industry,before_first_ammendment,
1090,1,T T Krishnamachari,M,INC,,CM,,"Thursday, 30 August 1956","Wednesday, 17 April 1957",Lok Sabha,Tiruchandur,Madras,finance,before_first_ammendment,
1091,1,V K Krishna Menon,M,IND,,CM,,"Tuesday, 14 February 1956","Thursday, 17 May 1956",Rajya Sabha,,Kerala,w/o portfolio,before_first_ammendment,
1092,1,V K Krishna Menon,M,IND,,CM,,"Thursday, 17 May 1956","Thursday, 4 April 1957",Rajya Sabha,,Kerala,health,before_first_ammendment,
1093,1,V V Giri,M,INC,,CM,,"Tuesday, 13 May 1952","Saturday, 7 August 1954",Lok Sabha,Pathapatnam,Madras,labour,before_first_ammendment,
1094,1,C C Biswas,M,INC,,MoS,,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Rajya Sabha,,West Bengal,indo pak agreement,before_first_ammendment,
1095,1,Morarji Desai,M,JP,,CM,,"Wednesday, 14 November 1956","Tuesday, 1 January 1957",not_applicable,,,commerce,before_first_ammendment,
1096,1,Morarji Desai,M,JP,,CM,,"Wednesday, 14 November 1956","Tuesday, 1 January 1957",not_applicable,,,consumer industry & heavy industry,before_first_ammendment,
1097,1,Morarji Desai,M,JP,,CM,,"Tuesday, 1 January 1957","Wednesday, 17 April 1957",not_applicable,,,commerce,before_first_ammendment,
1098,1,Morarji Desai,M,JP,,CM,,"Tuesday, 1 January 1957","Wednesday, 17 April 1957",not_applicable,,,industry,before_first_ammendment,
1099,3,Gulzarilal Nanda,M,INC,atomic energy,CM,,"Wednesday, 27 May 1964","Tuesday, 9 June 1964",Lok Sabha,Kaithal,Haryana,atomic energy,no_error,
1100,3,Gulzarilal Nanda,M,INC,atomic energy,CM,,"Tuesday, 11 January 1966","Monday, 24 January 1966",Lok Sabha,Kaithal,Haryana,atomic energy,no_error,
1101,3,Gulzarilal Nanda,M,INC,,CM,,"Wednesday, 27 May 1964","Tuesday, 9 June 1964",Lok Sabha,Kaithal,Haryana,external affairs,no_error,
1102,3,Gulzarilal Nanda,M,INC,,CM,,"Sunday, 1 September 1963","Wednesday, 27 May 1964",Lok Sabha,Kaithal,Haryana,home affairs,no_error,
1103,1,Jawaharlal Nehru,M,INC,,PM,,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Lok Sabha,Phulpur,Uttar Pradesh,prime minister,before_first_ammendment,
1104,1,Jawaharlal Nehru,M,INC,,PM,,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Lok Sabha,Phulpur,Uttar Pradesh,external affairs,before_first_ammendment,
1105,1,Jawaharlal Nehru,M,INC,,PM,,"Tuesday, 27 January 1953","Monday, 10 January 1955",Lok Sabha,Phulpur,Uttar Pradesh,defence,before_first_ammendment,
1106,1,Jawaharlal Nehru,M,INC,,PM,,"Tuesday, 24 July 1956","Thursday, 30 August 1956",Lok Sabha,Phulpur,Uttar Pradesh,finance,before_first_ammendment,
1107,1,Jawaharlal Nehru,M,INC,,PM,,"Wednesday, 30 January 1957","Wednesday, 17 April 1957",Lok Sabha,Phulpur,Uttar Pradesh,defence,before_first_ammendment,
1108,1,Lal Bahadur Shastri,M,INC,,CM,,"Tuesday, 13 May 1952","Friday, 7 December 1956",Rajya Sabha,,Uttar Pradesh,railways,before_first_ammendment,
1109,1,Lal Bahadur Shastri,M,INC,,CM,,"Tuesday, 13 May 1952","Friday, 7 December 1956",Rajya Sabha,,Uttar Pradesh,transportation,before_first_ammendment,
1110,1,Jagjivan Ram,M,INC,,CM,,"Tuesday, 13 May 1952","Friday, 7 December 1956",Lok Sabha,Sasaram,Bihar,communications,before_first_ammendment,
1111,1,Jagjivan Ram,M,INC,,CM,,"Friday, 7 December 1956","Wednesday, 17 April 1957",Lok Sabha,Sasaram,Bihar,railways & transport,before_first_ammendment,
2803,0,Maulana Abul Kalam Azad,M,INC,,CM,,"Saturday, 6 May 1950","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,education,before_first_ammendment,
1114,2,Hafiz Mohammad Ibrahim,M,INC,,CM,,"Wednesday, 2 April 1958","Tuesday, 10 April 1962",Rajya Sabha,,Uttar Pradesh,irrigation & power,before_first_ammendment,
1115,2,Kabir Humayun,M,BANGLA CONG,,MoS,,"Wednesday, 17 April 1957","Thursday, 10 April 1958",Rajya Sabha,,West Bengal,transport,before_first_ammendment,
1116,2,Kabir Humayun,M,BANGLA CONG,,MoS,,"Wednesday, 17 April 1957","Thursday, 10 April 1958",Rajya Sabha,,West Bengal,communications,before_first_ammendment,
1117,2,Kabir Humayun,M,BANGLA CONG,,CM,,"Thursday, 10 April 1958","Tuesday, 10 April 1962",Rajya Sabha,,West Bengal,scientific development,before_first_ammendment,
1118,2,Kabir Humayun,M,BANGLA CONG,,CM,,"Thursday, 10 April 1958","Tuesday, 10 April 1962",Rajya Sabha,,West Bengal,cultural affairs,before_first_ammendment,
1119,2,T T Krishnamachari,M,INC,,CM,,"Wednesday, 17 April 1957","Friday, 14 February 1958",Lok Sabha,Tiruchandur,Madras,finance,before_first_ammendment,
1120,2,Ajit Prasad Jain,M,INC,,CM,,"Wednesday, 17 April 1957","Monday, 24 August 1959",Lok Sabha,Tumkur,Mysore,food & agriculture,before_first_ammendment,
1123,2,Govind Ballabh Pant,M,INC,,CM,,"Wednesday, 17 April 1957","Tuesday, 7 March 1961",Rajya Sabha,,Uttar Pradesh,home affairs,before_first_ammendment,
1124,2,S K Patil,M,INC,,CM,,"Wednesday, 17 April 1957","Saturday, 29 March 1958",Lok Sabha,Banaskantha,Gujarat,irrigation & power,before_first_ammendment,
1125,2,S K Patil,M,INC,,CM,,"Saturday, 29 March 1958","Monday, 24 August 1959",Lok Sabha,Banaskantha,Gujarat,communications,before_first_ammendment,
1126,2,S K Patil,M,INC,,CM,,"Saturday, 29 March 1958","Monday, 24 August 1959",Lok Sabha,Banaskantha,Gujarat,transport,before_first_ammendment,
1127,2,S K Patil,M,INC,,CM,Additional Charge,"Saturday, 29 August 1959","Tuesday, 10 April 1962",Lok Sabha,Banaskantha,Gujarat,irrigation & power,before_first_ammendment,
1128,2,S K Patil,M,INC,,CM,,"Monday, 24 August 1959","Tuesday, 10 April 1962",Lok Sabha,Banaskantha,Gujarat,food & agriculture,before_first_ammendment,
1130,2,Bali Ram Bhagat,M,INC,,DCM,,"Wednesday, 17 April 1957","Tuesday, 10 April 1962",Lok Sabha,Arrah,Bihar,finance,before_first_ammendment,
1132,2,K D Malaviya,M,INC,,MoS,,"Wednesday, 17 April 1957","Thursday, 25 April 1957",Lok Sabha,Domariagaj,Uttar Pradesh,"steel, mines & fuel",before_first_ammendment,
1133,2,K D Malaviya,M,INC,,CM,,"Thursday, 25 April 1957","Tuesday, 10 April 1962",Lok Sabha,Domariagaj,Uttar Pradesh,mines & oil,before_first_ammendment,
1134,2,L N Mishra,M,INC,,DCM,,"Monday, 22 August 1960","Tuesday, 10 April 1962",Lok Sabha,Saharsa,Bihar,planning,before_first_ammendment,
1135,2,L N Mishra,M,INC,,DCM,,"Monday, 22 August 1960","Tuesday, 10 April 1962",Lok Sabha,Saharsa,Bihar,labour & employment,before_first_ammendment,
1137,2,Shyam Nandan Mishra,M,JP,,DCM,,"Wednesday, 17 April 1957","Tuesday, 10 April 1962",Lok Sabha,Begusarai,Bihar,planning,before_first_ammendment,
1138,2,V K Krishna Menon,M,IND,,CM,,"Wednesday, 17 April 1957","Tuesday, 10 April 1962",Lok Sabha,Trivandrum,Kerala,defence,before_first_ammendment,
1139,2,Raghuramiah Kotha,M,INC,,DCM,,"Tuesday, 21 May 1957","Tuesday, 10 April 1962",Lok Sabha,Guntur,Andhra Pradesh,defence,before_first_ammendment,
1140,2,Raj Bahadur,M,INC,,MoS,,"Wednesday, 17 April 1957","Tuesday, 10 April 1962",Lok Sabha,Bharatpur,Rajasthan,transport & communications,before_first_ammendment,
1141,2,K C Reddy,M,INC,,CM,,"Wednesday, 17 April 1957","Wednesday, 5 April 1961",Lok Sabha,Chikallapur,Mysore,works & housing,before_first_ammendment,
1142,2,K C Reddy,M,INC,,CM,,"Wednesday, 17 April 1957","Wednesday, 5 April 1961",Lok Sabha,Chikallapur,Mysore,supplies,before_first_ammendment,
1143,2,K C Reddy,M,INC,,CM,,"Wednesday, 5 April 1961","Tuesday, 10 April 1962",Lok Sabha,Chikallapur,Mysore,commerce & industry,difference of 77,
1144,2,B Gopala Reddi,M,INC,Economic Affairs,MoS,,"Sunday, 2 March 1958","Saturday, 10 May 1958",Rajya Sabha,,Andhra Pradesh,economic affairs,before_first_ammendment,
1145,2,B Gopala Reddi,M,INC,,MoS,,"Saturday, 10 May 1958","Friday, 7 April 1961",Rajya Sabha,,Andhra Pradesh,revenue & expenditure,before_first_ammendment,
1146,2,B Gopala Reddi,M,INC,,MoS,,"Wednesday, 5 April 1961","Tuesday, 10 April 1962",Rajya Sabha,,Andhra Pradesh,"works, housing & supply",difference of 77,
1147,2,Manubhai Shah,M,INC,,MoS,,"Wednesday, 17 April 1957","Thursday, 25 April 1957",Lok Sabha,Jamnagar,Gujarat,commerce & industry,before_first_ammendment,
1148,2,Manubhai Shah,M,INC,,MoS,,"Thursday, 25 April 1957","Tuesday, 10 April 1962",Lok Sabha,Jamnagar,Gujarat,industry,before_first_ammendment,
1149,2,Kalu Lal Shrimali,M,INC,,MoS,,"Wednesday, 17 April 1957","Tuesday, 10 April 1962",Rajya Sabha,,Rajasthan,education,before_first_ammendment,
1150,2,Kalu Lal Shrimali,M,INC,,MoS,,"Wednesday, 17 April 1957","Tuesday, 10 April 1962",Rajya Sabha,,Rajasthan,scientific research,before_first_ammendment,
1151,2,Kalu Lal Shrimali,M,INC,,MoS,,"Thursday, 10 April 1958","Tuesday, 10 April 1962",Rajya Sabha,,Rajasthan,education,before_first_ammendment,
1152,2,Satya Narayan,M,INC,,MoS,,"Wednesday, 17 April 1957","Tuesday, 10 April 1962",Lok Sabha,Darbhanga,Bihar,parliamentary affairs,before_first_ammendment,
1153,2,P Subbarayan,M,INC,,CM,,"Wednesday, 2 September 1959","Tuesday, 10 April 1962",Lok Sabha,Tiruchengode,Madras,transport & communications,before_first_ammendment,
1154,2,Ashok K Sen,M,INC,,CM,,"Wednesday, 17 April 1957","Monday, 12 May 1958",Lok Sabha,Calcutta North West,West Bengal,law,before_first_ammendment,
1155,2,Ashok K Sen,M,INC,,CM,,"Monday, 12 May 1958","Tuesday, 10 April 1962",Lok Sabha,Calcutta North West,West Bengal,law,before_first_ammendment,
1156,2,Swaran Singh,M,INC,,CM,,"Wednesday, 17 April 1957","Tuesday, 10 April 1962",Lok Sabha,Jullunder,Punjab,"steel, mines & fuel",before_first_ammendment,
1003,1,Maulana Abul Kalam Azad,M,INC,,CM,,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Lok Sabha,Gurgaon,Punjab,natural resources,before_first_ammendment,
1158,2,Jai Sukh Lal Hathi,M,INC,,DCM,,"Wednesday, 17 April 1957","Tuesday, 10 April 1962",Lok Sabha,Halar,Bombay,irrigation & power,before_first_ammendment,
1159,2,P S Deshmukh,M,INC,,MoS,,"Wednesday, 17 April 1957","Thursday, 25 April 1957",Lok Sabha,Amaravati,Maharashtra,food & agriculture,before_first_ammendment,
1160,2,P S Deshmukh,M,INC,,MoS,,"Thursday, 25 April 1957","Wednesday, 31 December 1958",Lok Sabha,Amaravati,Maharashtra,cooperation,before_first_ammendment,
1161,2,P S Deshmukh,M,INC,,CM,,"Wednesday, 31 December 1958","Monday, 9 April 1962",Lok Sabha,Amaravati,Maharashtra,agriculture,before_first_ammendment,
1162,2,Surendra Kumar Dey,M,INC,,MoS,,"Wednesday, 17 April 1957","Wednesday, 31 December 1958",Rajya Sabha,,Delhi,community development,before_first_ammendment,
